frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1971-02-12,1971-02-19,0.033259739154752124,0.11099772254327084,184
weekly,1971-02-19,1971-02-26,0.06843699051425088,0.07744887204464287,183
weekly,1971-02-26,1971-03-05,-0.08548227197457427,-0.08642103139077083,184
weekly,1971-03-05,1971-03-12,-0.007993017056885173,0.0661252022399877,190
weekly,1971-03-12,1971-03-19,0.05203156585101613,0.09244664974889386,194
weekly,1971-03-19,1971-03-26,0.0714042156372362,0.13595701311148797,192
weekly,1971-03-26,1971-04-02,-0.08758387383621391,-0.036600242578632695,190
weekly,1971-04-02,1971-04-08,-0.058709923850231834,-0.004532895148473174,1007
weekly,1971-04-08,1971-04-16,0.07536923337860246,0.131594852818016,1009
weekly,1971-04-16,1971-04-23,0.01750869051197917,0.08241596467579304,997
weekly,1971-04-23,1971-04-30,0.05414378898946519,0.08042726738699188,1001
weekly,1971-04-30,1971-05-07,0.08211098388768291,0.09088324861213107,1012
weekly,1971-05-07,1971-05-14,0.07229336089632044,0.14157013415403122,1095
weekly,1971-05-14,1971-05-21,0.057715237819508707,0.10042752034818729,1096
weekly,1971-05-21,1971-05-28,0.05156993821163313,0.08969913894476714,1095
weekly,1971-05-28,1971-06-04,-0.08500989676082854,-0.031460066975092675,1088
weekly,1971-06-04,1971-06-11,0.06806081638493348,0.11770234673778851,1122
weekly,1971-06-11,1971-06-18,0.1892132704479391,0.2215540760933413,1107
weekly,1971-06-18,1971-06-25,0.05134706617755292,0.09005753384498941,1112
weekly,1971-06-25,1971-07-02,-0.05440150112883317,-0.02663073342748151,1103
weekly,1971-07-02,1971-07-09,-0.05291718007530998,-0.0028333780636602564,719
weekly,1971-07-09,1971-07-16,0.040822613933828605,0.09822271488166381,732
weekly,1971-07-16,1971-07-23,0.05285418002801695,0.09870440307982759,724
weekly,1971-07-23,1971-07-30,0.20718317309626366,0.22101088224545085,708
weekly,1971-07-30,1971-08-06,0.0011451590092414687,-0.012605641022257578,664
weekly,1971-08-06,1971-08-13,0.0495332306949896,0.0791244363197202,652
weekly,1971-08-13,1971-08-20,-0.04188370251449225,-0.03596263451747208,665
weekly,1971-08-20,1971-08-27,-0.018814750918892995,0.009538061261823036,668
weekly,1971-08-27,1971-09-03,-0.15960980579481165,-0.09808526802655668,669
weekly,1971-09-03,1971-09-10,-0.10551783341810596,-0.03646676322453882,686
weekly,1971-09-10,1971-09-17,0.013845358949408368,0.09044125942399293,682
weekly,1971-09-17,1971-09-24,0.07775900048009501,0.12492141632270752,687
weekly,1971-09-24,1971-10-01,0.008186099846485642,0.06288864224363841,679
weekly,1971-10-01,1971-10-08,0.03870801336086517,0.1102459763128932,758
weekly,1971-10-08,1971-10-15,0.1161626799698084,0.13627259875248426,757
weekly,1971-10-15,1971-10-22,0.03676186881334794,0.0432148728601709,754
weekly,1971-10-22,1971-10-29,0.10397503716774228,0.1442126186646092,755
weekly,1971-10-29,1971-11-05,0.14059704331196618,0.17796067819906206,745
weekly,1971-11-05,1971-11-12,0.12082407970312106,0.18662180464603312,747
weekly,1971-11-12,1971-11-19,0.07460696136740871,0.09573288699122154,749
weekly,1971-11-19,1971-11-26,0.061332184049574336,0.09936553110377341,741
weekly,1971-11-26,1971-12-03,-0.21215492029157723,-0.20005363214703395,739
weekly,1971-12-03,1971-12-10,-0.12359226225087155,-0.09591090945190966,774
weekly,1971-12-10,1971-12-17,0.05223056332880245,0.07710583141145703,776
weekly,1971-12-17,1971-12-23,-0.018351009726107134,0.04499415496041524,780
weekly,1971-12-23,1971-12-31,-0.07884835262379475,-0.01489773029262521,779
weekly,1971-12-31,1972-01-07,-0.2627932261595063,-0.24316869095497207,849
weekly,1972-01-07,1972-01-14,-0.1383774260131826,-0.07257310490729903,857
weekly,1972-01-14,1972-01-21,-0.11830295307520443,-0.09000238665658776,866
weekly,1972-01-21,1972-01-28,-0.17293071771373866,-0.15118594658577675,870
weekly,1972-01-28,1972-02-04,-0.1785110531259457,-0.1340701350248698,875
weekly,1972-02-04,1972-02-11,-0.04094579148507466,-0.009507349196676613,893
weekly,1972-02-11,1972-02-18,0.005685861929133341,0.06698899909972718,899
weekly,1972-02-18,1972-02-25,-0.01821838488537248,0.057257436686063055,895
weekly,1972-02-25,1972-03-03,-0.0019032499338829823,0.06657519569178559,906
weekly,1972-03-03,1972-03-10,-0.07910967914392497,-0.023901311964046226,915
weekly,1972-03-10,1972-03-17,0.09364775026454861,0.157030409607898,923
weekly,1972-03-17,1972-03-24,0.1250779157334529,0.16015570924038627,917
weekly,1972-03-24,1972-03-30,-0.017731827506614624,0.02536326050023788,919
weekly,1972-03-30,1972-04-07,0.01718031068794573,0.09283815713139189,1359
weekly,1972-04-07,1972-04-14,-0.10342461692886983,-0.046566833540639625,1364
weekly,1972-04-14,1972-04-21,0.020797717422060026,0.07826210983590177,1358
weekly,1972-04-21,1972-04-28,0.08959402384122143,0.11570397856448579,1361
weekly,1972-04-28,1972-05-05,0.2138807823731004,0.23686415029416188,1364
weekly,1972-05-05,1972-05-12,0.059926252159212316,0.13592847347853187,1404
weekly,1972-05-12,1972-05-19,0.050310281657966235,0.08355783656717375,1418
weekly,1972-05-19,1972-05-26,0.11328134449607993,0.16655084925551317,1421
weekly,1972-05-26,1972-06-02,0.00045207770320493043,0.07804310763193176,1418
weekly,1972-06-02,1972-06-09,0.04454153638029381,0.06203886481889833,1432
weekly,1972-06-09,1972-06-16,0.05539560838001795,0.07168944469821606,1431
weekly,1972-06-16,1972-06-23,0.06552009533341507,0.09901310384124457,1434
weekly,1972-06-23,1972-06-30,0.015267346217387637,0.04755856916872256,1428
weekly,1972-06-30,1972-07-07,0.011469131986921186,0.056010434615554036,1396
weekly,1972-07-07,1972-07-14,0.10295490966086968,0.1304608350786384,1395
